Test Case: B200_aten-mm
|   M   |   K   |   N   |    _tensor     |   _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) |
|  128  | 1024  |  128  |  [128, 1024]   |  [1024, 128]   | fp16  |       97.69       |      96.93       |      98.43       |
| 1024  | 1024  |  128  |  [1024, 1024]  |  [1024, 128]   | fp16  |       98.16       |      97.66       |      98.63       |
| 4096  | 1024  |  128  |  [4096, 1024]  |  [1024, 128]   | fp16  |       99.1        |      97.88       |      103.2       |
| 16384 | 1024  |  128  | [16384, 1024]  |  [1024, 128]   | fp16  |       98.11       |      97.09       |      101.51      |
|   1   | 8192  |  128  |   [1, 8192]    |  [8192, 128]   | fp16  |      100.04       |      99.45       |      101.01      |
|   2   | 8192  |  128  |   [2, 8192]    |  [8192, 128]   | fp16  |       100.1       |      99.21       |      101.4       |
|   8   | 8192  |  128  |   [8, 8192]    |  [8192, 128]   | fp16  |      100.76       |       99.6       |      102.44      |
|  128  | 8192  |  128  |  [128, 8192]   |  [8192, 128]   | fp16  |      100.03       |      99.57       |      100.52      |
| 1024  | 8192  |  128  |  [1024, 8192]  |  [8192, 128]   | fp16  |       100.2       |      99.52       |      100.74      |
| 4096  | 8192  |  128  |  [4096, 8192]  |  [8192, 128]   | fp16  |       97.88       |      96.87       |      98.78       |
| 16384 | 8192  |  128  | [16384, 8192]  |  [8192, 128]   | fp16  |       97.54       |       96.6       |      98.51       |
|   1   | 16384 |  128  |   [1, 16384]   |  [16384, 128]  | fp16  |      100.16       |      99.82       |      100.62      |
|   2   | 16384 |  128  |   [2, 16384]   |  [16384, 128]  | fp16  |      100.14       |      99.33       |      100.67      |
|   8   | 16384 |  128  |   [8, 16384]   |  [16384, 128]  | fp16  |       99.91       |      99.03       |      101.04      |
|  128  | 16384 |  128  |  [128, 16384]  |  [16384, 128]  | fp16  |       99.69       |      99.06       |      100.05      |
| 1024  | 16384 |  128  | [1024, 16384]  |  [16384, 128]  | fp16  |      101.82       |      100.43      |      104.92      |
| 4096  | 16384 |  128  | [4096, 16384]  |  [16384, 128]  | fp16  |      101.02       |      100.61      |      101.84      |
| 16384 | 16384 |  128  | [16384, 16384] |  [16384, 128]  | fp16  |       99.6        |      99.19       |      100.16      |
|   1   |  32   | 1024  |    [1, 32]     |   [32, 1024]   | fp16  |       97.69       |      97.08       |      98.19       |
|   2   |  32   | 1024  |    [2, 32]     |   [32, 1024]   | fp16  |       97.45       |      96.99       |      98.06       |
|   8   |  32   | 1024  |    [8, 32]     |   [32, 1024]   | fp16  |       98.12       |      97.54       |      99.13       |
|  128  |  32   | 1024  |   [128, 32]    |   [32, 1024]   | fp16  |       98.07       |      96.89       |      98.66       |
| 1024  |  32   | 1024  |   [1024, 32]   |   [32, 1024]   | fp16  |       97.96       |      97.47       |      98.46       |
| 4096  |  32   | 1024  |   [4096, 32]   |   [32, 1024]   | fp16  |       97.74       |       97.1       |      98.32       |
| 16384 |  32   | 1024  |  [16384, 32]   |   [32, 1024]   | fp16  |       98.11       |      97.57       |      98.96       |
|   1   |  128  | 1024  |    [1, 128]    |  [128, 1024]   | fp16  |       97.78       |      97.01       |      98.51       |
|   2   |  128  | 1024  |    [2, 128]    |  [128, 1024]   | fp16  |       97.01       |      96.19       |      97.42       |
|   8   |  128  | 1024  |    [8, 128]    |  [128, 1024]   | fp16  |       96.94       |      96.38       |      97.78       |
|  128  |  128  | 1024  |   [128, 128]   |  [128, 1024]   | fp16  |       97.0        |      95.88       |      97.58       |
| 1024  |  128  | 1024  |  [1024, 128]   |  [128, 1024]   | fp16  |       96.83       |      96.24       |      97.51       |
| 4096  |  128  | 1024  |  [4096, 128]   |  [128, 1024]   | fp16  |       96.96       |      96.57       |      97.48       |
| 16384 |  128  | 1024  |  [16384, 128]  |  [128, 1024]   | fp16  |       97.34       |      96.54       |      98.29       |
|   1   | 1024  | 1024  |   [1, 1024]    |  [1024, 1024]  | fp16  |       97.14       |      96.32       |      97.87       |
|   2   | 1024  | 1024  |   [2, 1024]    |  [1024, 1024]  | fp16  |       96.64       |      96.08       |      97.08       |
|   8   | 1024  | 1024  |   [8, 1024]    |  [1024, 1024]  | fp16  |       97.32       |      96.98       |      97.91       |
|  128  | 1024  | 1024  |  [128, 1024]   |  [1024, 1024]  | fp16  |       97.41       |      97.03       |      97.73       |
| 1024  | 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | fp16  |       96.9        |      96.52       |      97.27       |
| 4096  | 1024  | 1024  |  [4096, 1024]  |  [1024, 1024]  | fp16  |       97.16       |      96.58       |      97.64       |
| 16384 | 1024  | 1024  | [16384, 1024]  |  [1024, 1024]  | fp16  |       98.07       |      97.06       |      100.22      |
|   1   | 8192  | 1024  |   [1, 8192]    |  [8192, 1024]  | fp16  |      100.45       |      99.89       |      100.91      |
|   2   | 8192  | 1024  |   [2, 8192]    |  [8192, 1024]  | fp16  |      100.17       |      99.83       |      100.8       |
|   8   | 8192  | 1024  |   [8, 8192]    |  [8192, 1024]  | fp16  |      100.25       |      99.74       |      100.59      |
|  128  | 8192  | 1024  |  [128, 8192]   |  [8192, 1024]  | fp16  |      100.54       |      99.47       |      103.08      |
| 1024  | 8192  | 1024  |  [1024, 8192]  |  [8192, 1024]  | fp16  |       96.82       |       96.0       |      97.63       |
| 4096  | 8192  | 1024  |  [4096, 8192]  |  [8192, 1024]  | fp16  |       97.38       |      96.69       |      97.74       |
| 16384 | 8192  | 1024  | [16384, 8192]  |  [8192, 1024]  | fp16  |      192.14       |      190.44      |      196.53      |
|   1   | 16384 | 1024  |   [1, 16384]   | [16384, 1024]  | fp16  |      100.11       |      98.77       |      100.69      |
|   2   | 16384 | 1024  |   [2, 16384]   | [16384, 1024]  | fp16  |      100.61       |      99.72       |      101.56      |
|   8   | 16384 | 1024  |   [8, 16384]   | [16384, 1024]  | fp16  |      100.25       |      99.57       |      100.67      |
|  128  | 16384 | 1024  |  [128, 16384]  | [16384, 1024]  | fp16  |      100.69       |      99.88       |      101.22      |
| 1024  | 16384 | 1024  | [1024, 16384]  | [16384, 1024]  | fp16  |       97.71       |      96.71       |      98.17       |
| 4096  | 16384 | 1024  | [4096, 16384]  | [16384, 1024]  | fp16  |      100.92       |      100.27      |      101.71      |
| 16384 | 16384 | 1024  | [16384, 16384] | [16384, 1024]  | fp16  |      372.68       |      360.71      |      390.11      |
|   1   |  32   | 8192  |    [1, 32]     |   [32, 8192]   | fp16  |       97.34       |      96.91       |      97.97       |
|   2   |  32   | 8192  |    [2, 32]     |   [32, 8192]   | fp16  |       97.45       |      96.55       |      97.88       |
|   8   |  32   | 8192  |    [8, 32]     |   [32, 8192]   | fp16  |       97.09       |      96.42       |      97.78       |
|  128  |  32   | 8192  |   [128, 32]    |   [32, 8192]   | fp16  |       97.33       |      96.96       |      97.81       |
| 1024  |  32   | 8192  |   [1024, 32]   |   [32, 8192]   | fp16  |       99.56       |      97.03       |      108.65      |
| 4096  |  32   | 8192  |   [4096, 32]   |   [32, 8192]   | fp16  |       100.2       |      96.34       |      114.43      |
| 16384 |  32   | 8192  |  [16384, 32]   |   [32, 8192]   | fp16  |       98.53       |      96.83       |      104.28      |
|   1   |  128  | 8192  |    [1, 128]    |  [128, 8192]   | fp16  |       96.77       |      96.28       |      97.48       |
|   2   |  128  | 8192  |    [2, 128]    |  [128, 8192]   | fp16  |       96.26       |      95.69       |      96.88       |
|   8   |  128  | 8192  |    [8, 128]    |  [128, 8192]   | fp16  |       96.61       |      96.15       |      97.05       |
|  128  |  128  | 8192  |   [128, 128]   |  [128, 8192]   | fp16  |       96.87       |      96.32       |      97.43       |
| 1024  |  128  | 8192  |  [1024, 128]   |  [128, 8192]   | fp16  |       97.58       |      96.75       |      98.04       |
| 4096  |  128  | 8192  |  [4096, 128]   |  [128, 8192]   | fp16  |       97.11       |      96.39       |      97.65       |
| 16384 |  128  | 8192  |  [16384, 128]  |  [128, 8192]   | fp16  |       97.59       |      96.49       |      98.92       |
|   1   | 1024  | 8192  |   [1, 1024]    |  [1024, 8192]  | fp16  |       96.71       |      96.27       |      97.21       |
|   2   | 1024  | 8192  |   [2, 1024]    |  [1024, 8192]  | fp16  |       96.88       |       96.2       |      98.09       |
|   8   | 1024  | 8192  |   [8, 1024]    |  [1024, 8192]  | fp16  |       97.11       |      96.61       |      97.51       |
|  128  | 1024  | 8192  |  [128, 1024]   |  [1024, 8192]  | fp16  |       97.14       |      96.73       |      97.63       |
| 1024  | 1024  | 8192  |  [1024, 1024]  |  [1024, 8192]  | fp16  |       97.93       |      96.92       |      99.14       |
| 4096  | 1024  | 8192  |  [4096, 1024]  |  [1024, 8192]  | fp16  |       97.92       |      96.98       |      98.85       |
| 16384 | 1024  | 8192  | [16384, 1024]  |  [1024, 8192]  | fp16  |      183.06       |      182.87      |      183.33      |
|   1   | 8192  | 8192  |   [1, 8192]    |  [8192, 8192]  | fp16  |       97.27       |      96.07       |      98.74       |
|   2   | 8192  | 8192  |   [2, 8192]    |  [8192, 8192]  | fp16  |       96.81       |      96.15       |      97.53       |
|   8   | 8192  | 8192  |   [8, 8192]    |  [8192, 8192]  | fp16  |       97.72       |      96.94       |       98.0       |
|  128  | 8192  | 8192  |  [128, 8192]   |  [8192, 8192]  | fp16  |       98.23       |      97.33       |      99.99       |
| 1024  | 8192  | 8192  |  [1024, 8192]  |  [8192, 8192]  | fp16  |      100.49       |      99.66       |      101.8       |
| 4096  | 8192  | 8192  |  [4096, 8192]  |  [8192, 8192]  | fp16  |      353.13       |      351.78      |      354.31      |
| 16384 | 8192  | 8192  | [16384, 8192]  |  [8192, 8192]  | fp16  |      1542.9       |     1432.97      |     1593.02      |
|   1   | 16384 | 8192  |   [1, 16384]   | [16384, 8192]  | fp16  |      100.68       |       99.7       |      101.43      |
|   2   | 16384 | 8192  |   [2, 16384]   | [16384, 8192]  | fp16  |      100.33       |      99.22       |      100.79      |
|   8   | 16384 | 8192  |   [8, 16384]   | [16384, 8192]  | fp16  |      102.07       |      101.65      |      102.35      |
|  128  | 16384 | 8192  |  [128, 16384]  | [16384, 8192]  | fp16  |       97.49       |      96.78       |       99.1       |
| 1024  | 16384 | 8192  | [1024, 16384]  | [16384, 8192]  | fp16  |      179.74       |      179.5       |      179.93      |
| 4096  | 16384 | 8192  | [4096, 16384]  | [16384, 8192]  | fp16  |       713.7       |      709.11      |      736.13      |
| 16384 | 16384 | 8192  | [16384, 16384] | [16384, 8192]  | fp16  |      2889.9       |     2599.51      |     3071.39      |
|   1   |  32   | 16384 |    [1, 32]     |  [32, 16384]   | fp16  |       97.65       |      97.28       |      97.95       |
|   2   |  32   | 16384 |    [2, 32]     |  [32, 16384]   | fp16  |       97.19       |      96.01       |      97.65       |
|   8   |  32   | 16384 |    [8, 32]     |  [32, 16384]   | fp16  |       97.57       |      96.71       |      98.85       |
|  128  |  32   | 16384 |   [128, 32]    |  [32, 16384]   | fp16  |       97.1        |      96.16       |      98.04       |
| 1024  |  32   | 16384 |   [1024, 32]   |  [32, 16384]   | fp16  |       97.55       |       96.8       |      98.09       |
| 4096  |  32   | 16384 |   [4096, 32]   |  [32, 16384]   | fp16  |       98.08       |      96.36       |      102.44      |
| 16384 |  32   | 16384 |  [16384, 32]   |  [32, 16384]   | fp16  |       99.36       |       98.7       |      100.72      |
|   1   |  128  | 16384 |    [1, 128]    |  [128, 16384]  | fp16  |       96.83       |      96.12       |      97.38       |
|   2   |  128  | 16384 |    [2, 128]    |  [128, 16384]  | fp16  |       96.93       |       96.5       |      97.24       |
|   8   |  128  | 16384 |    [8, 128]    |  [128, 16384]  | fp16  |       96.96       |      96.07       |      97.58       |
|  128  |  128  | 16384 |   [128, 128]   |  [128, 16384]  | fp16  |       96.89       |      95.88       |      97.58       |
| 1024  |  128  | 16384 |  [1024, 128]   |  [128, 16384]  | fp16  |       98.02       |      97.28       |      98.71       |
| 4096  |  128  | 16384 |  [4096, 128]   |  [128, 16384]  | fp16  |       97.43       |      96.48       |       99.0       |
| 16384 |  128  | 16384 |  [16384, 128]  |  [128, 16384]  | fp16  |      111.73       |      111.35      |      112.49      |
|   1   | 1024  | 16384 |   [1, 1024]    | [1024, 16384]  | fp16  |       97.12       |      96.74       |      97.58       |
|   2   | 1024  | 16384 |   [2, 1024]    | [1024, 16384]  | fp16  |       97.7        |      96.73       |      98.71       |
|   8   | 1024  | 16384 |   [8, 1024]    | [1024, 16384]  | fp16  |       97.64       |      97.22       |      98.16       |
|  128  | 1024  | 16384 |  [128, 1024]   | [1024, 16384]  | fp16  |       97.43       |      96.64       |      98.21       |
| 1024  | 1024  | 16384 |  [1024, 1024]  | [1024, 16384]  | fp16  |       100.6       |      96.16       |      114.95      |
| 4096  | 1024  | 16384 |  [4096, 1024]  | [1024, 16384]  | fp16  |      100.02       |       98.1       |      103.29      |
| 16384 | 1024  | 16384 | [16384, 1024]  | [1024, 16384]  | fp16  |      361.96       |      360.51      |      363.2       |
|   1   | 8192  | 16384 |   [1, 8192]    | [8192, 16384]  | fp16  |       97.29       |      96.45       |      98.24       |
|   2   | 8192  | 16384 |   [2, 8192]    | [8192, 16384]  | fp16  |       97.29       |      96.64       |      97.87       |
|   8   | 8192  | 16384 |   [8, 8192]    | [8192, 16384]  | fp16  |       97.46       |      96.92       |      99.24       |
|  128  | 8192  | 16384 |  [128, 8192]   | [8192, 16384]  | fp16  |       97.8        |      97.54       |      98.14       |
| 1024  | 8192  | 16384 |  [1024, 8192]  | [8192, 16384]  | fp16  |      190.69       |      190.3       |      190.95      |
| 4096  | 8192  | 16384 |  [4096, 8192]  | [8192, 16384]  | fp16  |      742.32       |      699.48      |      796.06      |
| 16384 | 8192  | 16384 | [16384, 8192]  | [8192, 16384]  | fp16  |      3113.0       |     2846.57      |     3220.52      |
|   1   | 16384 | 16384 |   [1, 16384]   | [16384, 16384] | fp16  |      101.17       |      100.37      |      102.46      |
|   2   | 16384 | 16384 |   [2, 16384]   | [16384, 16384] | fp16  |      101.17       |      100.03      |      101.7       |
|   8   | 16384 | 16384 |   [8, 16384]   | [16384, 16384] | fp16  |      102.74       |      102.01      |      103.6       |
|  128  | 16384 | 16384 |  [128, 16384]  | [16384, 16384] | fp16  |       99.96       |      99.37       |      100.57      |
| 1024  | 16384 | 16384 | [1024, 16384]  | [16384, 16384] | fp16  |      367.11       |      363.18      |      386.6       |
| 4096  | 16384 | 16384 | [4096, 16384]  | [16384, 16384] | fp16  |      1456.58      |     1345.46      |      1500.4      |
| 16384 | 16384 | 16384 | [16384, 16384] | [16384, 16384] | fp16  |      6078.35      |     5761.77      |     6190.16      |
