Test Case: L40S_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   2   |  64   | N/A |           [[2, 64], [64]]            | bf16  |       1.98       |       2.01        |       2.04       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.04%     |
|   4   |  64   | N/A |           [[4, 64], [64]]            | bf16  |       2.14       |       2.17        |       2.2        |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.08%     |
|   8   |  64   | N/A |           [[8, 64], [64]]            | bf16  |       2.47       |        2.5        |       2.54       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.14%     |
|  16   |  64   | N/A |           [[16, 64], [64]]           | bf16  |       2.46       |       2.49        |       2.53       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.29%     |
|  32   |  64   | N/A |           [[32, 64], [64]]           | bf16  |       2.52       |       2.53        |       2.55       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.56%     |
|  64   |  64   | N/A |           [[64, 64], [64]]           | bf16  |       2.54       |       2.58        |       2.62       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|  128  |  64   | N/A |          [[128, 64], [64]]           | bf16  |       2.55       |       2.57        |       2.59       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.23%     |
|  256  |  64   | N/A |          [[256, 64], [64]]           | bf16  |       2.56       |       2.58        |       2.61       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.44%     |
|  512  |  64   | N/A |          [[512, 64], [64]]           | bf16  |       2.62       |       2.68        |       2.74       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.69%     |
| 1024  |  64   | N/A |          [[1024, 64], [64]]          | bf16  |       2.76       |       2.81        |       2.87       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.49%     |
| 2048  |  64   | N/A |          [[2048, 64], [64]]          | bf16  |       2.73       |       2.76        |       2.79       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    33.34%     |
| 4096  |  64   | N/A |          [[4096, 64], [64]]          | bf16  |       3.01       |       3.04        |       3.06       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.48%     |
| 8192  |  64   | N/A |          [[8192, 64], [64]]          | bf16  |       3.36       |        3.4        |       3.45       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.36%    |
| 16384 |  64   | N/A |         [[16384, 64], [64]]          | bf16  |       4.1        |       4.15        |       4.22       |        11.1        | 1.05e+06 | 3.15e+06 |      0.56%       |    177.6%     |
| 32768 |  64   | N/A |         [[32768, 64], [64]]          | bf16  |       5.63       |       5.66        |       5.7        |        20.2        | 2.10e+06 | 6.29e+06 |      0.81%       |    258.68%    |
|   1   |  128  | N/A |          [[1, 128], [128]]           | bf16  |       1.83       |       1.85        |       1.88       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.05%     |
|   2   |  128  | N/A |          [[2, 128], [128]]           | bf16  |       2.15       |       2.22        |       2.3        |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.08%     |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       2.93       |       2.97        |       3.02       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.12%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       2.49       |       2.52        |       2.56       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.29%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       2.57       |       2.65        |       2.75       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.55%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       2.52       |       2.55        |       2.57       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.13%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       3.02       |       3.11        |       3.21       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     1.88%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       3.28       |       3.46        |       3.63       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     3.47%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       3.26       |       3.29        |       3.33       |        2.28        | 3.28e+04 | 9.83e+04 |      0.02%       |     6.98%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       2.81       |       2.84        |       2.88       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |     16.2%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       2.84       |        2.9        |       2.97       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    32.05%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.05       |       3.09        |       3.14       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    59.69%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       3.35       |       3.39        |       3.43       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.68%    |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       4.11       |       4.14        |       4.17       |        11.1        | 1.05e+06 | 3.15e+06 |      0.56%       |    177.17%    |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       5.7        |       5.73        |       5.76       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    255.5%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |       8.75       |        8.8        |       8.86       |       38.41        | 4.19e+06 | 1.26e+07 |      1.05%       |    332.88%    |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       1.84       |       1.92        |       2.01       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.19%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       2.46       |        2.5        |       2.54       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.29%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       2.56       |       2.61        |       2.66       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.56%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       2.58       |        2.6        |       2.63       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.1%      |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       2.54       |       2.61        |       2.69       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.24%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       2.58       |       2.61        |       2.64       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.41%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       2.68       |       2.69        |       2.71       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.49%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       3.33       |       3.39        |       3.47       |        2.57        | 6.55e+04 | 1.97e+05 |      0.04%       |    13.67%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       2.89       |       2.91        |       2.94       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |     31.5%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.07       |       3.09        |       3.1        |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |     59.3%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       3.36       |        3.4        |       3.44       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.36%    |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       4.2        |       4.26        |       4.32       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    173.38%    |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       5.73       |       5.76        |       5.8        |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    254.16%    |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |       8.76       |       8.83        |       8.9        |       38.41        | 4.19e+06 | 1.26e+07 |      1.05%       |    332.5%     |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |      14.86       |       14.91       |      14.95       |       74.82        | 8.39e+06 | 2.52e+07 |      1.23%       |    392.02%    |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |      45.15       |       45.27       |      45.39       |       147.64       | 1.68e+07 | 5.03e+07 |      0.81%       |    258.05%    |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       1.89       |       1.94        |       2.0        |        2.01        | 7.68e+02 | 2.30e+03 |       0.0%       |     0.28%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       2.46       |       2.48        |       2.51       |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.43%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       2.41       |       2.43        |       2.45       |        2.03        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.89%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       2.46       |       2.52        |       2.6        |        2.05        | 6.14e+03 | 1.84e+04 |      0.01%       |     1.73%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       2.47       |       2.49        |       2.52       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.45%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       2.48       |       2.58        |       2.71       |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.88%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       2.56       |       2.58        |       2.61       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    13.33%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       2.7        |       2.72        |       2.75       |        2.85        | 9.83e+04 | 2.95e+05 |      0.08%       |    25.28%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       2.93       |       2.98        |       3.03       |        3.71        | 1.97e+05 | 5.90e+05 |      0.15%       |     46.6%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       3.21       |       3.24        |       3.26       |        5.41        | 3.93e+05 | 1.18e+06 |      0.27%       |    85.07%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       3.7        |       3.73        |       3.76       |        8.83        | 7.86e+05 | 2.36e+06 |      0.46%       |    147.6%     |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       4.95       |       4.97        |       5.0        |       15.65        | 1.57e+06 | 4.72e+06 |      0.69%       |    220.66%    |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |       7.27       |       7.37        |       7.47       |       29.31        | 3.15e+06 | 9.44e+06 |      0.94%       |    300.49%    |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      11.98       |       12.04       |      12.09       |       56.61        | 6.29e+06 | 1.89e+07 |      1.15%       |    364.7%     |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      23.33       |       23.5        |      23.65       |       111.23       | 1.26e+07 | 3.77e+07 |      1.18%       |    374.54%    |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      146.98      |      148.15       |      149.91      |       220.45       | 2.52e+07 | 7.55e+07 |      0.37%       |    118.9%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       1.84       |       1.87        |       1.9        |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.77%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       2.55       |       2.59        |       2.63       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       2.55       |        2.6        |       2.67       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.23%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       2.56       |       2.59        |       2.62       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.44%     |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       2.65       |       2.68        |       2.71       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.59%     |
|  32   | 2048  | N/A |         [[32, 2048], [2048]]         | bf16  |       2.73       |       2.74        |       2.75       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.67%     |
|  64   | 2048  | N/A |         [[64, 2048], [2048]]         | bf16  |       2.76       |       2.82        |       2.89       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    32.98%     |
|  128  | 2048  | N/A |        [[128, 2048], [2048]]         | bf16  |       3.01       |       3.04        |       3.08       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.48%     |
|  256  | 2048  | N/A |        [[256, 2048], [2048]]         | bf16  |       3.37       |       3.48        |       3.63       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.04%    |
|  512  | 2048  | N/A |        [[512, 2048], [2048]]         | bf16  |       4.19       |       4.24        |       4.3        |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    173.79%    |
| 1024  | 2048  | N/A |        [[1024, 2048], [2048]]        | bf16  |       5.71       |       5.75        |       5.79       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    255.05%    |
| 2048  | 2048  | N/A |        [[2048, 2048], [2048]]        | bf16  |       8.85       |       8.92        |       8.97       |       38.41        | 4.19e+06 | 1.26e+07 |      1.03%       |    329.12%    |
| 4096  | 2048  | N/A |        [[4096, 2048], [2048]]        | bf16  |      15.02       |       15.04       |      15.07       |       74.82        | 8.39e+06 | 2.52e+07 |      1.22%       |    387.84%    |
| 8192  | 2048  | N/A |        [[8192, 2048], [2048]]        | bf16  |       45.4       |       45.53       |      45.65       |       147.64       | 1.68e+07 | 5.03e+07 |      0.81%       |    256.63%    |
| 16384 | 2048  | N/A |       [[16384, 2048], [2048]]        | bf16  |      205.4       |       207.1       |      208.3       |       293.27       | 3.36e+07 | 1.01e+08 |      0.36%       |    113.45%    |
| 32768 | 2048  | N/A |       [[32768, 2048], [2048]]        | bf16  |      410.31      |      412.28       |      413.66      |       584.54       | 6.71e+07 | 2.01e+08 |      0.36%       |    113.58%    |
|   1   | 3072  | N/A |         [[1, 3072], [3072]]          | bf16  |       1.87       |       1.92        |       1.99       |        2.03        | 3.07e+03 | 9.22e+03 |       0.0%       |     1.14%     |
|   2   | 3072  | N/A |         [[2, 3072], [3072]]          | bf16  |       2.59       |       2.63        |       2.68       |        2.05        | 6.14e+03 | 1.84e+04 |      0.01%       |     1.65%     |
|   4   | 3072  | N/A |         [[4, 3072], [3072]]          | bf16  |       2.54       |       2.57        |       2.61       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.36%     |
|   8   | 3072  | N/A |         [[8, 3072], [3072]]          | bf16  |       2.6        |       2.64        |       2.7        |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.56%     |
|  16   | 3072  | N/A |         [[16, 3072], [3072]]         | bf16  |       2.69       |       2.72        |       2.76       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    12.69%     |
|  32   | 3072  | N/A |         [[32, 3072], [3072]]         | bf16  |       2.71       |       2.74        |       2.77       |        2.85        | 9.83e+04 | 2.95e+05 |      0.08%       |    25.19%     |
|  64   | 3072  | N/A |         [[64, 3072], [3072]]         | bf16  |       2.9        |       2.97        |       3.05       |        3.71        | 1.97e+05 | 5.90e+05 |      0.15%       |    47.08%     |
|  128  | 3072  | N/A |        [[128, 3072], [3072]]         | bf16  |       3.27       |        3.3        |       3.34       |        5.41        | 3.93e+05 | 1.18e+06 |      0.26%       |    83.51%     |
|  256  | 3072  | N/A |        [[256, 3072], [3072]]         | bf16  |       3.7        |       3.73        |       3.77       |        8.83        | 7.86e+05 | 2.36e+06 |      0.46%       |    147.6%     |
|  512  | 3072  | N/A |        [[512, 3072], [3072]]         | bf16  |       4.89       |       4.93        |       4.98       |       15.65        | 1.57e+06 | 4.72e+06 |       0.7%       |    223.37%    |
| 1024  | 3072  | N/A |        [[1024, 3072], [3072]]        | bf16  |       7.26       |       7.29        |       7.33       |       29.31        | 3.15e+06 | 9.44e+06 |      0.95%       |    300.9%     |
| 2048  | 3072  | N/A |        [[2048, 3072], [3072]]        | bf16  |       11.9       |       11.98       |      12.04       |       56.61        | 6.29e+06 | 1.89e+07 |      1.15%       |    367.15%    |
| 4096  | 3072  | N/A |        [[4096, 3072], [3072]]        | bf16  |      23.26       |       23.56       |      23.89       |       111.23       | 1.26e+07 | 3.77e+07 |      1.18%       |    375.67%    |
| 8192  | 3072  | N/A |        [[8192, 3072], [3072]]        | bf16  |      147.28      |      150.42       |      153.03      |       220.45       | 2.52e+07 | 7.55e+07 |      0.37%       |    118.66%    |
| 16384 | 3072  | N/A |       [[16384, 3072], [3072]]        | bf16  |      307.8       |      309.44       |      310.59      |       438.91       | 5.03e+07 | 1.51e+08 |      0.36%       |    113.56%    |
| 32768 | 3072  | N/A |       [[32768, 3072], [3072]]        | bf16  |      614.41      |       616.9       |      618.65      |       875.81       | 1.01e+08 | 3.02e+08 |      0.36%       |    113.78%    |
|   1   | 4096  | N/A |         [[1, 4096], [4096]]          | bf16  |       1.88       |       1.91        |       1.95       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.51%     |
|   2   | 4096  | N/A |         [[2, 4096], [4096]]          | bf16  |       2.53       |       2.57        |       2.61       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.25%     |
|   4   | 4096  | N/A |         [[4, 4096], [4096]]          | bf16  |       2.57       |        2.6        |       2.62       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.43%     |
|   8   | 4096  | N/A |         [[8, 4096], [4096]]          | bf16  |       2.66       |        2.7        |       2.74       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.55%     |
|  16   | 4096  | N/A |         [[16, 4096], [4096]]         | bf16  |       2.71       |       2.78        |       2.86       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.79%     |
|  32   | 4096  | N/A |         [[32, 4096], [4096]]         | bf16  |       2.73       |       2.81        |       2.89       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    33.34%     |
|  64   | 4096  | N/A |         [[64, 4096], [4096]]         | bf16  |       3.02       |       3.08        |       3.14       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.28%     |
|  128  | 4096  | N/A |        [[128, 4096], [4096]]         | bf16  |       3.36       |       3.45        |       3.57       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.36%    |
|  256  | 4096  | N/A |        [[256, 4096], [4096]]         | bf16  |       4.16       |       4.17        |       4.19       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    175.04%    |
|  512  | 4096  | N/A |        [[512, 4096], [4096]]         | bf16  |       5.79       |       5.83        |       5.88       |        20.2        | 2.10e+06 | 6.29e+06 |      0.79%       |    251.53%    |
| 1024  | 4096  | N/A |        [[1024, 4096], [4096]]        | bf16  |       8.92       |       8.95        |       8.99       |       38.41        | 4.19e+06 | 1.26e+07 |      1.03%       |    326.54%    |
| 2048  | 4096  | N/A |        [[2048, 4096], [4096]]        | bf16  |      14.94       |       14.99       |      15.03       |       74.82        | 8.39e+06 | 2.52e+07 |      1.23%       |    389.92%    |
| 4096  | 4096  | N/A |        [[4096, 4096], [4096]]        | bf16  |      44.83       |       44.95       |      45.06       |       147.64       | 1.68e+07 | 5.03e+07 |      0.82%       |    259.89%    |
| 8192  | 4096  | N/A |        [[8192, 4096], [4096]]        | bf16  |      205.21      |      207.13       |      208.44      |       293.27       | 3.36e+07 | 1.01e+08 |      0.36%       |    113.55%    |
| 16384 | 4096  | N/A |       [[16384, 4096], [4096]]        | bf16  |      410.4       |      412.63       |      414.16      |       584.54       | 6.71e+07 | 2.01e+08 |      0.36%       |    113.56%    |
| 32768 | 4096  | N/A |       [[32768, 4096], [4096]]        | bf16  |      820.8       |      822.73       |      824.07      |      1167.08       | 1.34e+08 | 4.03e+08 |      0.36%       |    113.56%    |
|   1   | 5120  | N/A |         [[1, 5120], [5120]]          | bf16  |       1.89       |       1.93        |       1.96       |        2.04        | 5.12e+03 | 1.54e+04 |      0.01%       |     1.88%     |
|   2   | 5120  | N/A |         [[2, 5120], [5120]]          | bf16  |       2.56       |        2.6        |       2.65       |        2.09        | 1.02e+04 | 3.07e+04 |      0.01%       |     2.78%     |
|   4   | 5120  | N/A |         [[4, 5120], [5120]]          | bf16  |       2.6        |       2.65        |       2.7        |        2.18        | 2.05e+04 | 6.14e+04 |      0.02%       |     5.47%     |
|   8   | 5120  | N/A |         [[8, 5120], [5120]]          | bf16  |       2.66       |       2.69        |       2.72       |        2.36        | 4.10e+04 | 1.23e+05 |      0.03%       |    10.69%     |
|  16   | 5120  | N/A |         [[16, 5120], [5120]]         | bf16  |       2.71       |       2.74        |       2.77       |        2.71        | 8.19e+04 | 2.46e+05 |      0.07%       |    20.99%     |
|  32   | 5120  | N/A |         [[32, 5120], [5120]]         | bf16  |       2.87       |       2.91        |       2.97       |        3.42        | 1.64e+05 | 4.92e+05 |      0.12%       |    39.64%     |
|  64   | 5120  | N/A |         [[64, 5120], [5120]]         | bf16  |       3.14       |       3.18        |       3.23       |        4.84        | 3.28e+05 | 9.83e+05 |      0.23%       |    72.47%     |
|  128  | 5120  | N/A |        [[128, 5120], [5120]]         | bf16  |       3.85       |       3.89        |       3.93       |        7.69        | 6.55e+05 | 1.97e+06 |      0.37%       |    118.21%    |
|  256  | 5120  | N/A |        [[256, 5120], [5120]]         | bf16  |       4.58       |       4.61        |       4.63       |       13.38        | 1.31e+06 | 3.93e+06 |      0.62%       |    198.74%    |
|  512  | 5120  | N/A |        [[512, 5120], [5120]]         | bf16  |       6.49       |       6.54        |       6.59       |       24.76        | 2.62e+06 | 7.86e+06 |      0.88%       |    280.5%     |
| 1024  | 5120  | N/A |        [[1024, 5120], [5120]]        | bf16  |      10.41       |       10.5        |      10.57       |       47.51        | 5.24e+06 | 1.57e+07 |       1.1%       |    349.75%    |
| 2048  | 5120  | N/A |        [[2048, 5120], [5120]]        | bf16  |      18.76       |       18.9        |      19.02       |       93.02        | 1.05e+07 | 3.15e+07 |      1.22%       |    388.15%    |
| 4096  | 5120  | N/A |        [[4096, 5120], [5120]]        | bf16  |      109.18      |      109.61       |      110.02      |       184.04       | 2.10e+07 | 6.29e+07 |      0.42%       |    133.39%    |
| 8192  | 5120  | N/A |        [[8192, 5120], [5120]]        | bf16  |      256.63      |      258.38       |      259.53      |       366.09       | 4.19e+07 | 1.26e+08 |      0.36%       |    113.5%     |
| 16384 | 5120  | N/A |       [[16384, 5120], [5120]]        | bf16  |      513.46      |      515.35       |      516.63      |       730.18       | 8.39e+07 | 2.52e+08 |      0.36%       |    113.45%    |
| 32768 | 5120  | N/A |       [[32768, 5120], [5120]]        | bf16  |     1028.05      |      1030.2       |     1031.71      |      1458.36       | 1.68e+08 | 5.03e+08 |      0.36%       |    113.33%    |
|   1   | 6144  | N/A |         [[1, 6144], [6144]]          | bf16  |       1.93       |       1.98        |       2.05       |        2.05        | 6.14e+03 | 1.84e+04 |      0.01%       |     2.21%     |
|   2   | 6144  | N/A |         [[2, 6144], [6144]]          | bf16  |       2.53       |       2.57        |       2.61       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.37%     |
|   4   | 6144  | N/A |         [[4, 6144], [6144]]          | bf16  |       2.66       |       2.71        |       2.76       |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.42%     |
|   8   | 6144  | N/A |         [[8, 6144], [6144]]          | bf16  |       2.67       |       2.72        |       2.77       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    12.78%     |
|  16   | 6144  | N/A |         [[16, 6144], [6144]]         | bf16  |       2.74       |       2.78        |       2.81       |        2.85        | 9.83e+04 | 2.95e+05 |      0.08%       |    24.91%     |
|  32   | 6144  | N/A |         [[32, 6144], [6144]]         | bf16  |       2.91       |       2.94        |       2.96       |        3.71        | 1.97e+05 | 5.90e+05 |      0.15%       |    46.92%     |
|  64   | 6144  | N/A |         [[64, 6144], [6144]]         | bf16  |       3.22       |       3.25        |       3.28       |        5.41        | 3.93e+05 | 1.18e+06 |      0.27%       |     84.8%     |
